,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Rank,Date,Platform
0,Reinhardt,TANK,12.08,52.10,2.61,7.15,All,2020-05-24 11:54:16.967151,PC
1,Ana,SUPPORT,10.80,49.92,2.36,9.81,All,2020-05-24 11:54:16.967151,PC
2,Moira,SUPPORT,8.28,49.95,2.45,10.52,All,2020-05-24 11:54:16.967151,PC
3,Zarya,TANK,7.51,52.90,2.47,12.39,All,2020-05-24 11:54:16.967151,PC
4,Mercy,SUPPORT,6.56,51.32,2.42,2.46,All,2020-05-24 11:54:16.967151,PC
5,McCree,OFFENSE,4.72,47.43,1.79,8.60,All,2020-05-24 11:54:16.967151,PC
6,Lúcio,SUPPORT,4.36,51.76,2.06,11.86,All,2020-05-24 11:54:16.967151,PC
7,Ashe,OFFENSE,3.83,53.39,2.20,9.85,All,2020-05-24 11:54:16.967151,PC
8,Roadhog,TANK,3.40,49.70,1.75,9.34,All,2020-05-24 11:54:16.967151,PC
9,Sigma,TANK,3.07,50.85,2.22,12.90,All,2020-05-24 11:54:16.967151,PC
10,Genji,OFFENSE,2.93,50.54,2.17,11.95,All,2020-05-24 11:54:16.967151,PC
11,Soldier: 76,OFFENSE,2.38,49.48,1.86,9.78,All,2020-05-24 11:54:16.967151,PC
12,Junkrat,DEFENSE,2.15,52.12,2.65,11.61,All,2020-05-24 11:54:16.967151,PC
13,Wrecking Ball,TANK,2.15,50.94,1.86,3.02,All,2020-05-24 11:54:16.967151,PC
14,D.Va,TANK,2.05,48.38,2.11,6.53,All,2020-05-24 11:54:16.967151,PC
15,Echo,OFFENSE,2.01,50.35,1.94,7.51,All,2020-05-24 11:54:16.967151,PC
16,Winston,TANK,1.99,47.72,1.75,6.19,All,2020-05-24 11:54:16.967151,PC
17,Reaper,OFFENSE,1.94,50.56,1.86,13.61,All,2020-05-24 11:54:16.967151,PC
18,Brigitte,SUPPORT,1.93,55.70,1.79,7.04,All,2020-05-24 11:54:16.967151,PC
19,Baptiste,SUPPORT,1.83,46.50,2.59,11.44,All,2020-05-24 11:54:16.967151,PC
20,Doomfist,OFFENSE,1.63,52.35,1.88,7.41,All,2020-05-24 11:54:16.967151,PC
21,Orisa,TANK,1.62,49.77,1.95,6.77,All,2020-05-24 11:54:16.967151,PC
22,Hanzo,DEFENSE,1.60,47.44,2.09,10.41,All,2020-05-24 11:54:16.967151,PC
23,Tracer,OFFENSE,1.52,49.48,1.50,7.16,All,2020-05-24 11:54:16.967151,PC
24,Pharah,OFFENSE,1.51,54.15,1.85,14.75,All,2020-05-24 11:54:16.967151,PC
25,Zenyatta,SUPPORT,1.49,53.46,1.90,8.28,All,2020-05-24 11:54:16.967151,PC
26,Widowmaker,DEFENSE,1.28,50.44,1.49,6.62,All,2020-05-24 11:54:16.967151,PC
27,Torbjörn,DEFENSE,1.16,57.40,2.79,7.69,All,2020-05-24 11:54:16.967151,PC
28,Mei,DEFENSE,0.77,48.07,2.48,6.75,All,2020-05-24 11:54:16.967151,PC
29,Symmetra,SUPPORT,0.66,58.08,2.90,9.13,All,2020-05-24 11:54:16.967151,PC
30,Sombra,OFFENSE,0.47,47.34,1.84,12.21,All,2020-05-24 11:54:16.967151,PC
31,Bastion,DEFENSE,0.31,55.00,2.38,16.33,All,2020-05-24 11:54:16.967151,PC
0,Moira,SUPPORT,9.73,47.62,2.60,9.96,Bronze,2020-05-24 11:55:05.315769,PC
1,Reinhardt,TANK,9.03,48.86,2.71,7.48,Bronze,2020-05-24 11:55:05.315769,PC
2,Mercy,SUPPORT,7.80,46.39,2.38,1.76,Bronze,2020-05-24 11:55:05.315769,PC
3,Ana,SUPPORT,7.25,46.02,2.28,7.39,Bronze,2020-05-24 11:55:05.315769,PC
4,Lúcio,SUPPORT,4.94,49.47,1.98,11.17,Bronze,2020-05-24 11:55:05.315769,PC
5,Zarya,TANK,4.92,48.83,2.59,8.94,Bronze,2020-05-24 11:55:05.315769,PC
6,Junkrat,DEFENSE,4.23,47.58,2.56,12.57,Bronze,2020-05-24 11:55:05.315769,PC
7,D.Va,TANK,4.04,44.32,2.59,6.29,Bronze,2020-05-24 11:55:05.315769,PC
8,Sigma,TANK,3.59,47.81,2.42,10.79,Bronze,2020-05-24 11:55:05.315769,PC
9,Orisa,TANK,3.45,48.09,2.51,5.80,Bronze,2020-05-24 11:55:05.315769,PC
10,Soldier: 76,OFFENSE,3.34,45.82,2.06,10.04,Bronze,2020-05-24 11:55:05.315769,PC
11,Reaper,OFFENSE,3.20,47.83,2.34,14.82,Bronze,2020-05-24 11:55:05.315769,PC
12,Roadhog,TANK,3.03,45.85,1.57,7.37,Bronze,2020-05-24 11:55:05.315769,PC
13,McCree,OFFENSE,2.97,44.61,1.48,8.43,Bronze,2020-05-24 11:55:05.315769,PC
14,Ashe,OFFENSE,2.70,48.92,2.20,7.76,Bronze,2020-05-24 11:55:05.315769,PC
15,Baptiste,SUPPORT,2.24,45.05,2.49,10.06,Bronze,2020-05-24 11:55:05.315769,PC
16,Genji,OFFENSE,2.07,45.18,2.18,9.15,Bronze,2020-05-24 11:55:05.315769,PC
17,Echo,OFFENSE,2.02,43.68,1.71,7.16,Bronze,2020-05-24 11:55:05.315769,PC
18,Wrecking Ball,TANK,1.99,47.83,2.21,2.62,Bronze,2020-05-24 11:55:05.315769,PC
19,Winston,TANK,1.94,46.27,1.47,5.53,Bronze,2020-05-24 11:55:05.315769,PC
